lark	417658193	full	6.08 1580
lark	417658193	info	0.07 786
lark	417658193	listclasses	0.16 278
lark	417658193	manifest	0.00 25
lark	417658193	mainactivity	0.11 436
lark	417658193	res	0.01 28
lark	417658193	largest	0.42 658
lark	417658193	strings	0.50 433
lark	417658193	findrefs-string	0.04 330
lark	417658193	findrefs-method	0.07 638
lark	417658193	members	0.13 438
lark	417658193	hierarchy	0.14 413
lark	417658193	disasm	0.13 436
lark	417658193	getclass	0.29 1078
Telegram	65219744	full	8.09 1016
Telegram	65219744	info	0.03 89
Telegram	65219744	listclasses	0.04 82
Telegram	65219744	manifest	0.00 10
Telegram	65219744	mainactivity	0.03 85
Telegram	65219744	res	0.00 11
Telegram	65219744	largest	0.05 85
Telegram	65219744	strings	0.07 85
Telegram	65219744	findrefs-string	0.03 78
Telegram	65219744	findrefs-method	0.05 83
Telegram	65219744	members	0.03 83
Telegram	65219744	hierarchy	0.03 85
Telegram	65219744	disasm	0.04 85
Telegram	65219744	getclass	0.61 196
qq	392021727	full	17.85 2330
qq	392021727	info	0.14 1146
qq	392021727	listclasses	0.23 366
qq	392021727	manifest	0.00 44
qq	392021727	mainactivity	0.17 540
qq	392021727	res	0.02 50
qq	392021727	largest	0.61 842
qq	392021727	strings	0.77 524
qq	392021727	findrefs-string	0.11 878
qq	392021727	findrefs-method	0.11 899
qq	392021727	members	0.19 512
qq	392021727	hierarchy	0.18 524
qq	392021727	disasm	0.18 518
qq	392021727	getclass	0.40 1356
weixin	280614450	full	10.15 1413
weixin	280614450	info	0.07 510
weixin	280614450	listclasses	0.15 424
weixin	280614450	manifest	0.00 28
weixin	280614450	mainactivity	0.08 386
weixin	280614450	res	0.01 29
weixin	280614450	largest	0.28 489
weixin	280614450	strings	0.38 374
weixin	280614450	findrefs-string	0.09 453
weixin	280614450	findrefs-method	0.07 462
weixin	280614450	members	0.10 365
weixin	280614450	hierarchy	0.10 399
weixin	280614450	disasm	0.10 371
weixin	280614450	getclass	0.23 792
WhatsApp	145478902	full	8.67 1197
WhatsApp	145478902	info	0.04 268
WhatsApp	145478902	listclasses	0.05 85
WhatsApp	145478902	manifest	0.00 17
WhatsApp	145478902	mainactivity	0.05 220
WhatsApp	145478902	res	0.01 19
WhatsApp	145478902	largest	0.12 246
WhatsApp	145478902	strings	0.18 221
WhatsApp	145478902	findrefs-string	0.04 215
WhatsApp	145478902	findrefs-method	0.04 206
WhatsApp	145478902	members	0.05 221
WhatsApp	145478902	hierarchy	0.05 205
WhatsApp	145478902	disasm	0.06 218
WhatsApp	145478902	getclass	0.09 310
weibo	236911858	full	6.13 1238
weibo	236911858	info	0.07 510
weibo	236911858	listclasses	0.12 372
weibo	236911858	manifest	0.01 40
weibo	236911858	mainactivity	0.08 357
weibo	236911858	res	0.02 58
weibo	236911858	largest	0.28 506
weibo	236911858	strings	0.37 376
weibo	236911858	findrefs-string	0.06 400
weibo	236911858	findrefs-method	0.06 395
weibo	236911858	members	0.10 350
weibo	236911858	hierarchy	0.09 364
weibo	236911858	disasm	0.08 365
weibo	236911858	getclass	0.16 646
reqable	35619609	full	0.27 147
reqable	35619609	info	0.01 24
reqable	35619609	listclasses	0.02 17
reqable	35619609	manifest	0.00 4
reqable	35619609	mainactivity	0.01 21
reqable	35619609	res	0.00 4
reqable	35619609	largest	0.02 28
reqable	35619609	strings	0.02 20
reqable	35619609	findrefs-string	0.02 23
reqable	35619609	findrefs-method	0.02 23
reqable	35619609	members	0.01 20
reqable	35619609	hierarchy	0.01 20
reqable	35619609	disasm	0.01 20
reqable	35619609	getclass	0.02 33
